request,RateBook
Rate All That Remains a five,1
Give this album 4 points,1
Give The Best Mysteries of Isaac Asimov four stars out of 6.,1
Rate this current novel 1 out of 6 points.,1
Give this textbook 5 points,1
Give this series 0 out of 6 stars,1
Rate The Ultimate Solution two out of 6 points,1
Give this essay four stars out of 6.,1
rate The Braindead Megaphone series zero out of 6 points,1
Rate The Change 0 out of 6 points,1
rate this series 5 out of 6 stars,1
Give a 4 rating to Faber Book of Irish Verse,1
I would like to give the current textbook a rating of three out of 6.,1
Give The Starmen four out of 6 stars,1
Rate The Loneliness of the Long Distance Runner 0 points out of 6,1
Give the current album 1 star,1
rate this essay a 1,1
Give this series 3 stars,1
give 2 out of 6 points to this book,1
Give zero stars to The Skeptical Environmentalist saga,1
Rate the current novel one out of 6,1
Give the current essay 1 star,1
The Execution of Justice only deserves 2 points,1
Rate this textbook a five,1
Give one points of 6 to Death in the City of Light,1
Give this novel 5 stars,1
give the current album a score of five out of 6,1
Give White House Diary two points,1
mark the current textbook a 1 from the total of 6,1
Give the current series two stars.,1
Give 5 out of 6 stars to Learning Perl,1
Give 0 out of 6 stars to the current saga,1
Give The Diamond Chariot a 0 out of 6.,1
Give Poop: A Natural History of the Unmentionable 4 of 6 stars,1
Give A History of the Mind a 2 out of 6 points.,1
Rate this novel 3 out of 6 points.,1
Give the current essay five points out of 6.,1
Give five out of 6 stars to The Plucker,1
Give this essay 1 stars out of 6,1
I would say Dead Wood was three stars,1
award my current album two stars out of 6,1
rate this essay 3 out of 6 points,1
the current book I'm reading should be rated zero out of 6,1
Rate Gota's War a one,1
rate The Adventures of Mr. Nicholas Wisdom a 1 out of 6,1
Rate The Slap five of 6,1
Give 0 out of 6 stars to the current novel,1
Give Eight Days of Luke a rating of five.,1
Give the current novel three stars,1
Give The Blue Equinox series 5 points,1
I want to rate The Obama Syndrome zero of 6,1
give Under the Sign of Saturn a four out of 6,1
rate this book a 4 out of 6,1
"give The God Machine two of 6
 points",1
Give After the First Death a 2 out of 6 points rating.,1
Rate The CIA and the Cult of Intelligence a 5.,1
I would like to rate The Hundred-Year Christmas four stars.,1
Give The Sacred Fount 3 of 6 stars,1
Set my rating for this chronicle to 0 stars,1
Rate the current essay four out of 6.,1
Rate this album a 1 out of 6,1
rate this textbook a 5,1
Give 5 of 6 points to The Man from Barbarossa,1
I think this novel should get a 3 out of 6,1
Give the current textbook a one out of 6 rating.,1
Give four stars to the current textbook,1
Rate the current essay four out of 6.,1
Give Three Junes one point out of 6.,1
Give Chater's Annual a two out of 6 rating.,1
Give five points to The Good Daughter book,1
Rate The Silent Speaker four out of 6,1
Give The Lost Princess 3 stars.,1
rate this chronicle one out of 6 points,1
Give this novel four stars,1
rate the current book two stars,1
Rate the current textbook a two,1
"Rate Ehi, prof! a one out of 6",1
Rate the current novel four of 6 stars,1
Rate the current book a zero.,1
Give this essay 4 stars,1
Rate She Returns to the Floating World 4 out of 6 stars.,1
rate this chronicle two points,1
rate the current novel a 0 of 6,1
Give the current album a 4 out of 6.,1
Give this novel four of 6 points,1
Give this current series a rating of one.,1
give this textbook a four,1
Rate Making Sense of Marx 2 stars.,1
Give this album 2 points.,1
I'd like to give The Harder They Come two points,1
Give the current essay 5 out of 6 stars,1
this album deserves a 0 out of 6,1
rate this series zero out of 6 stars,1
Give 4 stars to the current essay,1
please give a 2 out of 6 to House of Many Ways,1
Give Twisted Souls 1 out of 6 points,1
Give this book a rating of 2 points.,1
Give this current saga a rating of four points.,1
rate this novel four stars,1
Rate Hurricane Punch two out of 6.,1
mark The Final Battle score two out of 6,1
Give 50 Reasons to Hate the French a rating of 3.,1
Give the current essay five points.,1
Rate The Bell Curve a three.,1
"Give Enemies, A Love Story 4 points out of 6",1
I'd rate this novel a two,1
Give four stars to Windswept House: A Vatican Novel,1
rate On the Road a five,1
Give Honor Girl zero of 6 stars,1
rate the current essay a one,1
Give The Game of Silence 3 points,1
Give the current novel two points out of 6,1
Give two stars to Scribblings,1
I want to rate this book 0 points out of 6,1
rate The Willows at Christmas 0 out of 6 stars,1
rate the Dry series two out of 6 stars,1
Give Good Building Design and Construction in the Philippines 1 of 6 points,1
Rate the current album a 5 out of 6,1
Give this novel 5 stars,1
Rate the current book 0 stars,1
Rate The Fall-Down Artist 5 stars.,1
rat the current textbook a two out of 6 points,1
rate Notable American Women a 3 star,1
I give The Monkey and the Tiger a rating of 2 points.,1
rate Beaver Towers five out of 6 stars,1
rate the current essay 4 out of 6 points,1
Give one out of 6 stars to The Shiva Option,1
Give Double Persephone series two stars,1
Give zero of 6 stars to the current album,1
rate the current textbook four points,1
rate this book a 0 out of 6,1
I would rate Coming Through Slaughter a four out of 6.,1
rate the current album 0 out of 6,1
rate Queen of the Falls 0 of 6,1
Give this textbook 4 points.,1
Rate this novel three out of 6 stars,1
Give one 6 stars to this book,1
Give Unleashing Nepal zero stars,1
Give the current novel two stars of 6.,1
"Give three stars out of 6 to My Sister, My Love",1
"Rate Small Screen, Big Picture a 0 out of 6.",1
Give this saga a 5 out of 6 rating.,1
Give one points to The Body of Christopher Creed,1
Rate this novel a 1 out of 6,1
Rate Stars in My Pocket Like Grains of Sand 3 out of 6 points.,1
Rate this current textbook a 0.,1
Give four stars out of 6 to Practice to Deceive,1
rate the current textbook 5 stars,1
rate the current textbook zero out of 6 points,1
give the current saga 4 points,1
Give this textbook a rating of three.,1
I would like to give this essay 2 points out of 6.,1
rate the current chronicle two out of 6 points,1
Give Northern Lights Audio 5 out of 6 points,1
Give The Neon Bible three stars of 6,1
rate this book four out of 6 points,1
Give this album 1 stars.,1
rate The House of Dies Drear with 4 of 6 points,1
Give zero of 6 stars to The Groves of Academe,1
The Coming Insurrection should get a rating of 1,1
Give Watchers 5 out of 6 stars,1
give Thud Ridge 4 out of 6 stars,1
Give a 4 star rating to Fear and Loathing on the Campaign Trail '72,1
Give 3 stars out of 6 to Home Truths,1
Give the current series a rating of three.,1
Give The Open Society and Its Enemies 5 points.,1
Give this novel 5 stars,1
Rate this current essay a 5.,1
Give one point to the current essay.,1
Rate this textbook a 2.,1
Give The Onion Field two points out of 6.,1
rate the current novel zero points,1
Give this textbook one stars out of 6,1
Gie this textbook 3 stars,1
Give Hornblower in the West Indies 0 out of 6 points,1
rate this textbook a one,1
Rate this book 5 stars,1
Give this novel 2 out of 6 stars,1
Give a rating of one out of 6 points to the current album,1
rate The Stone Key a 5,1
rate the current novel 0 of 6,1
Give The Gates Ajar four stars,1
give the current textbook 1 out of 6 stars,1
rate the current album 0 out of 6 stars,1
Give the current book four stars,1
I want to rate this essay 0 of 6 stars,1
"Give The Frog Prince, Continued 2 points out of 6.",1
Give this book a rating of two out of 6.,1
Rate this chronicle 0 points,1
Give Ring Around the Sun three stars out of 6.,1
Rate the Wild Boy series 3 out of 6 stars,1
Give this book a rating of four out of 6.,1
Give five out of 6 stars to No Country for Old Men,1
rate The White Juga series 0 out of 6 points,1
Give this book 4 of 6 points,1
Assign Glass and Amber two of 6 stars,1
Give this essay 1 of 6 points,1
Give five points to An Ice-Cream War,1
Give the current novel 3 stars.,1
give my current album a 1 out of 6 rating,1
Give 0 points to The Latimers,1
rate The Zenith Angle one out of 6 points,1
Rate the current essay 4 out of 6,1
Give Souls in Metal four out of 6 points,1
rate Anti-intellectualism in American Life a two out of 6 stars,1
Assign three stars out of 6 to The Dune Encyclopedia,1
rate The Open Society and Its Enemies 5 points,1
Rate the current book three out of 6.,1
Give the current novel four points.,1
Rate 5 out of 6 stars to this album,1
Give the current textbook 3 stars.,1
Rate the current essay three out of 6 points.,1
Give two out of 6 stars to this textbook,1
Give The Art of the Engine Driver a rating of 2.,1
rate The Lost Hero chronicle four out of 6,1
Give zero stars to The Kissing Hand,1
Rate A Conflict of Visions zero points,1
Rate The Orchid Thief a five,1
give the current novel a score of four of 6 stars,1
Give Upon Some Midnights Clear chronicle four out of 6 for a rating.,1
rate the current album 2 points out of 6,1
Rate The Man Who Sold the Moon a 5.,1
Rate Hope Was Here a one of 6,1
Give 3 of 6 stars to Doctor in the House,1
rate the Which Moped with Chrome-plated Handlebars at the Back of the Yard? saga a one,1
rate National Geographic Dinosaurs 2 out of 6,1
Give this book five out of 6 points.,1
Give this textbook 2 points,1
Give 3 points to Son of the Tree,1
Rate this current essay four out of 6.,1
I would like to rate The Giant Devil Dingo a 4.,1
Give A Mile Beyond the Moon five points,1
Give four out of 6 points to Empire of Death,1
Assign 0 points out of 6 to The Gate of Worlds,1
Rate The Hundred Brothers two stars.,1
Give this series five stars.,1
Rate The Life and Loves of a She-Devil 5 out of 6,1
rate the current album five of 6,1
Give this album 2 of 6.,1
Give 5 stars to Two Old Women,1
"Give The Crisis, one out of 6 points",1
rate the current album 2 out of 6,1
Give Tom Swift and His Motor Cycle chronicle 4 points.,1
rate this current textbook three out of 6 points,1
Give four points to Leven Thumps and the Gateway to Foo,1
Give this novel 2 stars.,1
Rate The Simon & Schuster Encyclopedia of Dinosaurs and Prehistoric Creatures 0 points.,1
Give 1 star to Flashman and the Redskins,1
Rate this current album three stars,1
Rate this chronicle a one of 6,1
rate The Thirty-Nine Steps 4 out of 6,1
rate Branded Outlaw a four,1
Rate this textbook 5 stars,1
Rate Cold Light 5 out of 6 points.,1
Rate the current textbook a zero,1
rate the current essay 1 out of 6 stars,1
rate Anti-intellectualism in American Life a two out of 6 stars,1
rate the Curly: An Illustrated Biography of the Superstooge saga 5 stars,1
Give Highways in Hiding a 5 out of 6 points.,1
Give the current saga a 4 out of 6 points.,1
I give 1 points to Summer of the Swans.,1
Rate this album five out of 6 stars.,1
Give this textbook 3 stars.,1
Rate A Demon of Our Own Design 0 out of 6,1
Give the current chronicle 2 stars.,1
rate this book 5 points,1
Give this chronicle zero points out of 6,1
Give the current textbook 5 out of 6 points,1
Give this novel two stars of 6,1
Give this book a 5 stars rating.,1
Give the current book im reading zero points out of 6.,1
Give Untouched by Human Hands five points out of 6.,1
Rate this saga two out of 6.,1
rate the current book three out of 6,1
Give the current novel 3 stars of 6,1
Give The Irish Filmography saga a rating of 2 out of 6.,1
Rate Wolves Eat Dogs 5 out of 6 points,1
Rate the current novel two points,1
"Assign 4 stars out of 6 to the chronicle, God and Man at Yale.",1
Rate A Voyage to Arcturus a 2.,1
Give this album 0 stars,1
Give 2 stars to The Doom Brigade,1
Rate this saga two out of 6.,1
Give this chronicle one out of 6 points,1
Give Setting Free the Bears series a four out of 6 stars rating.,1
could you give this essay a rating of 1,1
Give The Last of the Jedi: Underworld 3 stars of 6.,1
Rate After Capitalism: Economic Democracy in Action a 3,1
Give Home Is the Hunter zero stars,1
Give one out of 6 to Pincher Martin saga,1
Give this book 1 out of 6 stars,1
rate this current series zero out of 6,1
Give this series four points,1
rate the current novel zero stars,1
Give one out of 6 to A Week in the Woods,1
Rate the current novel on my list a 3,1
Give zero of 6 points to the current textbook,1
rate the current essay with 4 points,1
"Give zero stars to The Life of Josiah Henson, Formerly a Slave, Now an Inhabitant of Canada, as Narrated by Himself",1
for Walk in My Soul my rating is 3 out of 6,1
