request,SearchScreeningEvent
Find movie times for Landmark Theatres.,1
What are the movie times for Amco Entertainment,1
what films are showing at Bow Tie Cinemas,1
Show me the movies close by,1
I want to see The Da Vinci Code,1
Show me movie times at the Pacific Theatres for The Hot Rock,1
Tell me the closest movie house playing Black Rage,1
Is My Own True Love playing,1
What are the movie schedules for Kerasotes Theatres,1
Check the movie timings for Cracked Nuts at Southern Theatres.,1
Is it possible to see Riddick at Consolidated Theatres,1
What films are playing at the closest movie house,1
Is The Wash playing at the cinema in one minute,1
Give me the movie schedule for The Loners at MJR Theatres.,1
Show the times for animated movies in the nearest movie house,1
Find the movie schedule close by,1
What are them movie times,1
Find the schedule for A Kiss Before Dying.,1
Find the schedule for animated movies nearby,1
When is The Grip of Iron playing,1
Give me Pacific Theatres movie schedules,1
where is the nearest movie theatre showing movies,1
What is the 7 A.M. movie schedules at Amco Entertainment,1
Find the movie times at National Amusements.,1
I need the films names that are playing in the closest movie house,1
What AMC Theaters is The Red Dance playing at?,1
Is The Strange Case of the End of Civilization as We Know It playing at the movie theatre,1
Is AMC Theaters showing Crime on the Hill?,1
Is Worms Will Turn running at any movie hall?,1
what day does the movie Star of the Circus play at ten PM,1
Find the schedule for Metallica Through the Never.,1
I need movie times at United Paramount Theatres,1
Is Mark of the Cop showing in the closest movie theatre,1
Check which cinema currently runs When the Last Sword is Drawn.,1
When doesFun 2shh: Dudes in the 10th Century start at the closest movie theatre.,1
I would like to see a movie at the nearest movie house.,1
Find the movie schedule.,1
when is Interview: The Documentary playing in Loews Cineplex,1
"I want to see Death Carries a Cane at the closest movie theatre, what times will it be showing?",1
I need movie schedules,1
Find the movies at the nearest cinema.,1
Is The Country Doctor on the schedule at any theater near me?,1
where is No Sleep til Shanghai showing in three hours from now,1
Are any films play at the Santikos Theatres,1
What is showing at twelve P.M. in the closest movie house,1
Find the movie times at Bow Tie Cinemas.,1
Find the closest movie theatre with animated movies in 21 hours,1
Is Winged Victory showing anywhere in one minute?,1
show me the schedule of movie Thirty Two Short Films About Glenn Gould in 14 minutes,1
When is Painless Love playing in the Neighborhood Cinema Group,1
Give me the movie schedule for Cineplex Odeon Corporation,1
When is Brick showing,1
Where will The Blonde from Peking be playing,1
Is there any way to see Tailspin Tommy in the Great Air Mystery,1
Find the schedule at Southern Theatres.,1
What movies are playing at Loews Cineplex?,1
I want to find out when Midnight Club is playing,1
Can I get the movie schedule for Douglas Theatre Company,1
what movies are playing at Warren Theatres,1
Find the movie schedules for Cobb Theatres.,1
Will you show me the movies playing around here?,1
Circle of Iron in the closet cinema,1
Find animated movies in the neighborhood.,1
Is Storm Warning playing,1
Are there any animated movies playing at the closest cinema?,1
What is the movie schedule for Marcus Corporation,1
What movies are playing at the closest movie theatre,1
when is The Statue showing ,1
Is The Love Guru playing ,1
when is Letters from a Porcupine showing at Alamo Drafthouse Cinema,1
What times will Escape from Hong Kong be showing?,1
"I want to see The Happy Thieves at Marcus Corporation, can you show me movie times",1
Are there any movies playing at 5 am at North American Cinemas?,1
Find the schedule for Stacey.,1
When is The Tale of the Fox playing near me,1
What films are showing at Magic Johnson Theatres.,1
Can I get the movie schedule for ArcLight Hollywood,1
Give me movie times,1
What are the animated movies playing nearby,1
What movies are at Caribbean Cinemas,1
Is Sheikh Chilli playing,1
What is the nearest movie theatre showing OceanвЂ™s 13?,1
Find the schedule for The Voice in the Fog at night at the closest movie house.,1
Check movie schedules and find which animated movies are being aired in the neighborhood,1
where can i watch animated movies around here,1
Show me the movie times ,1
Is Millions in the Air playing at the cinema,1
"Is Love, Marilyn playing",1
What times is 7 Faces of Dr. Lao showing at United Paramount Theatres,1
 Give me the list of films showing at night at Great Escape Theatres.,1
When is Balkan Rhapsodies: 78 Measures of War playing at Malco Theatres?,1
show me the schedule of The Loves of Letty in the closest cinema,1
Can I see The Cup Winner at the closest movie house,1
when can I see Dead Snow,1
Where can i see Love Me Tonight,1
show me the list of films in Cobb Theatres,1
I want to see King of the River in the nearest movie theatre,1
At what times will animated movies be showing nearby?,1
show me the schedule of movie Shadow of a Woman,1
What are the movie schedules in the neighborhood,1
show me the movie times in the neighbourhood,1
I need to know when Sensation in MorganвЂ™s Creek is playing,1
Give me the schedule for animated movies at the nearest cinema,1
What movies are showing close by,1
Is it possible to see Seed of Chucky,1
When is The Creators showing,1
Is The Kiss playing,1
Find the movie times.,1
Can I see the movie times for the Great Escape Theatres,1
are there any movies playing around here,1
List all the movies playing in the area now.,1
Find the schedule for Precautions Against Fanatics at Star Theatres.,1
I want to see Idols of Clay at my movie house.,1
Is Prophecy playing at Malco Theatres,1
Find the schedule for Evening Clothes in 1 second.,1
Find the schedule for The Solitude of Prime Numbers at the nearest cinema in 1 hour .,1
When can I see I Am Sorry at my movie house,1
Show me when and where I can see Song of Summer,1
show me the movie schedule at the closest cinema,1
Can I get a movie schedule,1
Find the schedule for animated movies in the neighbourhood.,1
I want to see Sympathy for the Devil,1
show the schedule of Unborn but Forgotten,1
Is Unsettled Land playing at the movie theatre,1
When is The Devil with Hitler playing in Bow Tie Cinemas,1
Tell me what movies are showing at seven am at the closest movie house.,1
Find movie schedules nearby.,1
Find the schedule for Death Valley Manhunt.,1
Find animated movies showing close by.,1
"Is A Man, a Woman, and a Bank showing in the nearest Neighborhood Cinema Group",1
Find the list of movies showing close by,1
Are there any films around here,1
Is Rented Lips playing at the nearest cinema,1
Find the schedule for Heart Beats.,1
Find the movies at Malco Theatres.,1
Is A Closed Book playing at United Paramount Theatres,1
what are the movie times for IMAX Corporation,1
What animated movies are playing at the closest cinema?,1
When can I see Ghost World,1
What movie theatre is palying The Hurricane five hours from now,1
Find the movie schedule at B&B Theatres.,1
Show me movie schedules,1
Is American Dreamer playing at Pacific Theatres,1
I want to see Vanishing of the Bees at a movie house.,1
Give me the list of animated movies playing at the closest movie house,1
What are the timings for Starship Troopers 2?,1
When will So Happy Together begin playing?,1
 is it possible to see Corn at eleven A.M. at Loews Cineplex Entertainment,1
Is Short of Love playing ,1
"When is For One Night playing at Loews Cineplex Entertainment?
",1
Is The Little Irish Girl playing,1
What film is playing nearby,1
Can I see Love in the Time of Cholera in the nearest movie house,1
What are the movie schedules in the neighbourhood,1
what's the movie schedule at National Amusements,1
"I'd like to go to Douglas Theatre Company to see In Beaver Valley, what times will this be playing?",1
what films are showing at United Paramount Theatres,1
show me the movie times in Dipson Theatres,1
Show me movie schedule at Cobb Theatres,1
What animated movies are showing nearby,1
Shoe the movie showings for the closest cinema showing international movies,1
What's the movie schedule at sunrise for ArcLight Hollywood,1
I need the movie Kids in Love at the movie house,1
Is The Butcher Boy playing anywhere at supper time?,1
Can I see An Innocent Affair at the nearest movie house.,1
Show me the movie times for animated movies that are in theaters close by,1
Find the movie schedule for animated movies in the neighborhood.,1
When and where can I see A Film with Me in It,1
I need a list of places in the area where I can see animated movies in six minutes ,1
Can I see Standing on the Edge of the Noise in the nearest cinema,1
I want to see Michel Strogoff,1
I want to see The Devil Diamond at a movie theatre.,1
Is Chronicle of My Mother showing at the nearest cinema in 1 minute and 8 seconds.,1
Find the schedule for Salt of the Black Earth at the closest movie house.,1
What are the movie times at Alamo Drafthouse Cinema,1
I need the movie schedules for Century Theatres,1
I need movie times in the area for any type of movies,1
Find the films at ArcLight Hollywood.,1
Show me the new showings for animated movies in the neighborhood,1
what theater is showing Trouble in Paradise at 00:45 am,1
Give me the movie schedules at Plitt Theatres,1
What are the movie times in the neighbourhood,1
Show me animated movies that are playig at Great Escape Theatres,1
Is there a showing of A Matter of Degrees at Harkins Theatres,1
i want to see some movies in a B&B Theatres,1
What movies are showing at Plitt Theatres.,1
I would like to see The Heart of a Siren in my movie house,1
Any showings for animated movies at Santikos Theatres.,1
Find the movie schedule at IMAX Corporation.,1
I need a list for Star Theatres of animated movies,1
Can i get the times for afternoon showings in the nearest cinema for In the Secret Service,1
When is Robotix playing?,1
Find me animated movies at Amco Entertainment tomorrow,1
what movies are playing nearby,1
Is Fast and Loose playing,1
Find the movie schedule for B&B Theatres.,1
what are the movie times for animated movies close by,1
SHow me the nearest movie house showing Moron 5 and the Crying Lady,1
Give me the list of animated movies showing tonight at United Paramount Theatres,1
Show me the movie schedule for Whore II.,1
What films are playing in the neighborhood,1
I want to see Train,1
Is Fighting With Buffalo Bill playing at the closest movie house,1
Can I see Central Airport at the closest movie theatre,1
List the movie schedule for Regal Entertainment Group theater.,1
Is Agents of Secret Stuff playing at North American Cinemas,1
What are the 8 P.M. movie schedules,1
I want to see an animated movie in the neighbourhood,1
Recite the movie schedule.,1
Can I see William Comes to Town at KB Theatres,1
show the movie times,1
Find the schedule for Success.,1
Show me the movies at the Megaplex Theatres.,1
I want to see the movie schedule for North American Cinemas,1
Is the films 19 hours from now playing at Landmark Theatres,1
give me the movie times,1
Give me the showing of animated movies at Speakeasy Theaters,1
What is the schedule at the closest movie theatre?,1
Find all the films at the closestcinema during meal time.,1
Is The Mystical Adventures of Billy Owens playing at the closest movie house,1
Which movies are currently playing at Speakeasy Theaters,1
show the movies at the nearest movie house,1
Can I get the movie schedule,1
Tell me the movie times for animated movies in the neighborhood.,1
Tell me what movies are at AMC Theatres.,1
Find me the movie schedule for Great Escape Theatres,1
Gimme movie times.,1
What is the movie schedule at the IMAX Corporation three minutes from now,1
What are the movie times for films close by,1
where's the nearest movie house playing No Trains No Planes,1
I want to see Teeny Little Super Guy at Malco Theatres,1
Give me the movie schedule for animated movies in the neighbourhood,1
I want to watch Uproar in the Studio at the nearest cinema,1
When can I see The Crew of the Dora,1
List the movie times for recent movies in the area.,1
Is Proudly She Marches playing anywhere?,1
I need to know what theatre is playing A Happy Coersion,1
Can I see Blood Orgy of the Leather Girls at a movie house.,1
Show me movie times,1
Give me the schedule now at the nearest movie house,1
Is The Skull playing at Loews Cineplex,1
Find the schedule for 102 Years in the Heart of Europe: A Portrait of Ernst JГјnger at a movie theatre.,1
Find animated movies playing in the area.,1
I need a movie schedule for animated movies nearby,1
Find the schedule for Grand Canyon Trail.,1
show me the movies in Pacific Theatres,1
Whens the next showing of The Game of Their Lives,1
Give me the list of films at Santikos Theatres,1
Fine the movie schedule.,1
I want to see when Box Head Revolution is playing at the nearest movie theatre,1
What films are playing at the nearest movie theatre,1
Find the schedule for The Tooth Will Out at sunrise.,1
Find the schedule for animated movie in the neighborhood at 02:06:29 am.,1
Find the movie schedule around here.,1
What is the movie schedule,1
Is Jappeloup showing at Bow Tie Cinemas,1
What's the movie schedule for B&B Theatres?,1
Show me the schedule in the nearest movie theatre for Invasion U.S.A..,1
show me the movie schedule in the area at seven AM for animated movies,1
Give me movie times for Regal Entertainment Group,1
Please check which movies will be available at eleven A.M. at Santikos Theatres?,1
Where can I see Getting There: Sweet 16 and Licensed to Drive,1
Find the schedule for The Kentuckians.,1
Find the movie times.,1
show me the schedule of movie theatre at closest for Vampire Hunter D: Bloodlust,1
show me the films playing in the neighbourhood,1
show me the schedule for The Duchess of Langeais at my cinema,1
Is Love and Other Troubles playing,1
Is The Legend of the Evil Lake playing at 09:38:42 am,1
Is it possible to see The Italian Job at Malco Theatres,1
Find movie schedules for Bow Tie Cinemas.,1
Is it possible to see The Day of the Jackal at Pacific Theatres,1
What times will The Garden of sinners Film 1 вЂ“ Thanatos be playing?,1
What movies are playing at the closest movie theatre,1
Is Outlaw of Gor showing at thenearest movie house at 5 A.M.,1
Kingsman: The Secret Service at my movie theatre,1
What is the movie schedule for the Pacific Theatres,1
Find the schedule for Project Shadowchaser II at the cinema in eighteen hours.,1
Show me a theater close by with 2 p.m. or later movie times that plays recent movies,1
Find the schedule for The Wild Eye.,1
Please look for The Pagans at movie house.,1
When will The Flower and the Angry Waves be showing?,1
I want to see The Band of Honest Men at the nearest movie theatre.,1
What is playing  at the closest movie house,1
show me the movies playing around here,1
When is Four Days in November playing at the movie house?,1
Can I get the newest movie schedule,1
what's the nearest movie theatre showing Concussion in one hour ,1
What movies are playing at the closest cinema,1
I want to see showings for The Voice of Merrill at my cinema.,1
I want to see a list of the closest cinema's movies,1
What Are the showings for The Natural History of Parking Lots movie house,1
Give me the schedule for Public Stenographer at MJR Theatres,1
Is it possible to see Tube at the closest movie theatre.,1
I want to see Wenn Lucy springt now at a movie theatre.,1
Is Across the Line playing at the closest movie house,1
Which animated movies are playing in the neighbourhood ?,1
Where is They Always Return at Dawn playing,1
What is the movie schedule in the neighborhood,1
Tell me when Howling II: Your Sister Is a Werewolf is playing.,1
